game_id,names,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,image_url,age,mechanic,owned,category,designer,num_votes
160903,Target for Today,1,1,90,45,90,2017,8.24728,https://cf.geekdo-images.com/original/img/AQ3G7muHSHKiclVJRwADMZvnGO0=/0x0/pic2546359.jpg,12,"Action / Movement Programming, Dice Rolling, Simulation",572,"Aviation / Flight, Wargame, World War II","Steve Dixon, Shawn Rife",147
216234,Pocket Ops,2,2,20,10,20,2017,6.98112,https://cf.geekdo-images.com/original/img/yMXFRlYahlsABM7Dsb27ApBmk5U=/0x0/pic3583489.jpg,6,Pattern Building,608,"Abstract Strategy, Deduction, Spies/Secret Agents",Brandon Beran,224
210271,Guild Ball: Kick Off!,2,2,60,0,60,2016,8.0346,https://cf.geekdo-images.com/original/img/XIJdrlEJmsOxKjO4wwO08pwgmCQ=/0x0/pic3208513.jpg,12,"Action Point Allowance System, Dice Rolling",478,"Fantasy, Medieval, Miniatures, Sports, Wargame","Mat Hart, Richard Loxam",122
34871,Ventura,2,4,90,90,90,2011,6.4759,https://cf.geekdo-images.com/original/img/OsX9PCgwvHAQ3guQ6dzii7Ju8kc=/0x0/pic974442.jpg,13,"Area Control / Area Influence, Card Drafting, Grid Movement, Modular Board, Simultaneous Action Selection, Tile Placement",1491,"Renaissance, Territory Building, Wargame","Alberto Menoncin, Silvio Negri-Clementi",388
171339,Entropy,2,6,15,15,15,2015,6.35813,https://cf.geekdo-images.com/original/img/kRBRBStrMSQLrkPiFVXePdSWZ_o=/0x0/pic2415140.jpg,12,"Hand Management, Simultaneous Action Selection, Variable Player Powers",995,"Bluffing, Card Game, Deduction, Science Fiction","Allen Chang, Alistair Kearney",440
1644,Tipp-Kick,2,2,10,10,10,1921,6.42454,https://cf.geekdo-images.com/original/img/AUTGNQoeNNRy9H8h9LRfYzGEAVA=/0x0/pic63199.jpg,8,none,501,"Action / Dexterity, Miniatures, Movies / TV / Radio theme, Sports",Carl Mayer,346
35423,Founding Fathers,3,6,180,180,180,2007,8.03182,https://cf.geekdo-images.com/original/img/oPQcEoYhZinm3FkPaU7c3yrniGs=/0x0/pic2072057.png,12,"Simulation, Variable Player Powers, Voting",178,"Napoleonic, Negotiation, Political, Post-Napoleonic, Print & Play",Rick Heli,111
152847,Shinobi WAT-AAH!,2,4,45,20,45,2014,6.40909,https://cf.geekdo-images.com/original/img/kfEu_zc8tLhwGx8PDPYeAuzZpxg=/0x0/pic2024983.jpg,10,"Hand Management, Worker Placement",819,"Card Game, Fantasy, Fighting",Théo Rivière,396
170669,Old School Tactical,2,0,60,60,60,2016,8.19961,https://cf.geekdo-images.com/original/img/laDsmdWxfFshX3tLlwFqPAvr5ak=/0x0/pic2361649.png,0,"Dice Rolling, Hex-and-Counter",408,"Wargame, World War II",Shayne Logan,127
159141,Code of Nine,3,4,40,40,40,2012,6.50708,https://cf.geekdo-images.com/original/img/u6N8RY7NSKXPtwOtRWaWv3NypMM=/0x0/pic2556408.png,13,Worker Placement,713,"Bluffing, Deduction, Science Fiction",BakaFire,329
8192,Railroad Dice,2,4,90,90,90,2003,6.19402,https://cf.geekdo-images.com/original/img/MllJofyiEb0_fMsrtBqwL9JCo6k=/0x0/pic220462.jpg,12,"Dice Rolling, Pick-up and Deliver, Route/Network Building, Tile Placement",736,"Dice, Trains, Transportation",Jens Kappe,500
40,Borderlands,2,4,120,120,120,1982,6.80808,https://cf.geekdo-images.com/original/img/WHVKiNPsKbgdhMJ92Aj9JuLS9HU=/0x0/pic651637.jpg,12,"Area Movement, Trading",532,"Bluffing, Civilization, Fantasy, Negotiation, Political","Bill Eberle, Jack Kittredge, Peter Olotka",259
6508,Tom Tube,2,2,30,30,30,2003,6.29165,https://cf.geekdo-images.com/original/img/aCz-pE8nb3jDqBAAgntpaX7iBOw=/0x0/pic25782.jpg,10,"Point to Point Movement, Route/Network Building, Tile Placement",650,Science Fiction,"Tobias Goslar, Roland Goslar",414
203719,Krosmaster Arena 2.0,2,4,60,45,60,2016,7.6689,https://cf.geekdo-images.com/original/img/KsmGU5vL0_PnCphPRIA61y9FAos=/0x0/pic3090972.jpg,8,"Action Point Allowance System, Card Drafting, Dice Rolling, Grid Movement, Variable Player Powers",564,"Collectible Components, Fantasy, Fighting, Miniatures",Matthieu Berthier,151
2114,"Duck, Duck, Bruce",2,4,20,20,20,1997,6.19065,https://cf.geekdo-images.com/original/img/CkZNS2H4WLlvWkUbFq5gwiHBLYo=/0x0/pic191734.jpg,6,Press Your Luck,923,"Animals, Card Game, Children's Game",Peter Neugebauer,520
205185,Einstein: His Amazing Life and Incomparable Science,2,4,45,15,45,2017,6.84673,https://cf.geekdo-images.com/original/img/Q3Dty4vb9NoEJ8Zc8nN003o3fXs=/0x0/pic3213340.png,8,"Modular Board, Pattern Building, Route/Network Building, Set Collection, Tile Placement",580,"Puzzle, Territory Building",Dirk Knemeyer,228
4106,Moderne Zeiten,3,5,45,45,45,2002,6.53941,https://cf.geekdo-images.com/original/img/N8DpbEpC_bSrSkk6FYSN_PfsFmI=/0x0/pic12492.jpg,10,"Auction/Bidding, Stock Holding",319,Economic,"Dan Glimne, Grzegorz Rejchtman",291
234190,Unstable Unicorns,2,8,45,30,45,2017,6.65166,https://cf.geekdo-images.com/original/img/JXjU3CrzgTFZdiY6fP4zO1YPha0=/0x0/pic3912914.jpg,14,"Hand Management, Set Collection, Take That",1549,"Card Game, Humor, Party Game",Ramy Badie,465
57141,"Codeword Cromwell: The German Invasion of England, 8 June 1940",1,1,120,120,120,2014,7.97615,https://cf.geekdo-images.com/original/img/IaNKN1-NsojUw300vnDSbKokuPg=/0x0/pic566684.jpg,10,none,340,"Adventure, Dice, Wargame, World War II",Daniel Hodges (I),109
6202,The Rise of the Roman Republic,2,3,240,240,240,2003,6.88145,https://cf.geekdo-images.com/original/img/L_mAzCS3xw7YjAnCH9fZ__6GQdA=/0x0/pic1918101.jpg,0,"Chit-Pull System, Hex-and-Counter, Simulation",732,"Ancient, Wargame",Richard H. Berg,221
221248,Monikers: The Shut Up & Sit Down Nonsense Box,4,20,60,30,60,2017,8.05337,https://cf.geekdo-images.com/original/img/CmKOkM97UfOq_zRJfM2a3Tvqj_U=/0x0/pic3789719.jpg,18,"Acting, Card Drafting, Role Playing",637,Party Game,"Alex Hague, Justin Vickers",104
40234,Einauge sei wachsam!,2,5,45,45,45,2009,6.32022,https://cf.geekdo-images.com/original/img/e5C9PuHt_iPSgGrvgfY7-jVJwy0=/0x0/pic434077.jpg,10,Set Collection,333,"Card Game, Pirates","Michael Kiesling, Wolfgang Kramer",408
41934,World at War: The Untold Stories,2,2,60,60,60,2010,7.97084,https://cf.geekdo-images.com/original/img/kKzPK54ggJ4BfPhnafq2be6GfoQ=/0x0/pic3227431.jpg,0,"Chit-Pull System, Dice Rolling, Hex-and-Counter",339,"Modern Warfare, Wargame",Mark H. Walker,125
169475,Ghostel,2,4,60,45,60,2017,7.41968,https://cf.geekdo-images.com/original/img/Fk2AVGuCVSb0rGmUY41iQPcLR9w=/0x0/pic2666660.jpg,12,"Dice Rolling, Worker Placement",380,Dice,Bevan Clatworthy,185
166372,Artificium,2,6,50,20,50,2014,6.13802,https://cf.geekdo-images.com/original/img/2bgQh3QkWC4BRXyxUPibYnHvg8M=/0x0/pic2249498.jpg,8,"Card Drafting, Simultaneous Action Selection, Trading",1158,"Card Game, Industry / Manufacturing, Medieval",Timofey Shargorodskiy,666
5217,Eleusis,4,8,20,20,20,1956,7.47057,https://cf.geekdo-images.com/original/img/nIfUWS7nyUYRvycc7x41v6dR5o4=/0x0/pic107673.jpg,10,Pattern Recognition,133,"Card Game, Deduction, Educational",Robert Abbott,141
124047,Pirate Dice: Voyage on the Rolling Seas,2,4,60,30,60,2012,6.20193,https://cf.geekdo-images.com/original/img/FpMfQCGEMWr3xgQ87gRp8W74UtI=/0x0/pic1364948.png,13,"Action / Movement Programming, Dice Rolling, Modular Board, Simultaneous Action Selection",905,"Dice, Nautical, Pirates","Sean Brown, Clint Herron",502
177702,Warehouse 51,3,5,45,30,45,2015,6.31327,https://cf.geekdo-images.com/original/img/92R9bktNSV-EGBcTRdXImPmRPnY=/0x0/pic2591749.png,10,"Auction/Bidding, Set Collection",1132,"Card Game, Mythology","Bruno Faidutti, Sérgio Halaban, André Zatz",416
178896,Last Blitzkrieg,2,4,960,180,960,2016,8.57064,https://cf.geekdo-images.com/original/img/73aPoQlN4whlinlu1IezdqrA1AU=/0x0/pic3387407.jpg,13,"Dice Rolling, Hex-and-Counter, Simulation",502,"Wargame, World War II",Dean Essig,109
126000,Letnisko,2,5,45,45,45,2013,6.70996,https://cf.geekdo-images.com/original/img/EhM3iy9-8dCJtHbBR6At8wWqi7I=/0x0/pic1604916.jpg,8,Worker Placement,352,"Card Game, Economic",Karol Madaj,261
14403,"Warhammer 40,000: Battle for Macragge",2,2,120,0,120,2004,6.57196,https://cf.geekdo-images.com/original/img/xe2Cyok6SzsUL63WznbSOMr0G-4=/0x0/pic58510.jpg,12,"Dice Rolling, Modular Board, Variable Player Powers",751,"Miniatures, Science Fiction","Andy Chambers, Rick Priestley",337
36986,All Things Zombie: The Boardgame,1,6,40,40,40,2010,6.20596,https://cf.geekdo-images.com/original/img/DoEukR9O47z2QE2dIAWMHSm5UBA=/0x0/pic634054.jpg,12,"Chit-Pull System, Co-operative Play, Hex-and-Counter",1175,"Fighting, Horror, Science Fiction, Wargame, Zombies","Ed Teixeira, Mark H. Walker",537
40432,Stratego (Revised Edition),2,2,30,30,30,2008,6.21822,https://cf.geekdo-images.com/original/img/1iB0BVDzLJ6VRXxZgslZLTk6NdY=/0x0/pic362170.jpg,8,"Memory, Secret Unit Deployment",1381,"Abstract Strategy, Bluffing, Deduction, Fantasy, Fighting, Memory",(Uncredited),601
99437,Rumble in the House,3,6,20,20,20,2011,6.11814,https://cf.geekdo-images.com/original/img/Iq4GrK_9kYKuTzPrmumNaQADW4w=/0x0/pic3120549.png,8,"Grid Movement, Modular Board, Secret Unit Deployment",1104,"Bluffing, Deduction, Fighting, Humor, Party Game",Ken Rush,651
